"ID","mz","RT","MF","category","compound_name","Score","Predict_formula"
1,72.0207064523306,5.485022054,NA,2,NA,0.654936745406105,"C3H4O2"
2,73.9999864523306,5.954865938,NA,2,NA,0.677586447740183,"C2H2O3"
3,75.0316364523306,4.587110265,NA,2,NA,0.697980450597867,"C2H5NO2"
4,88.0159164523306,6.210873382,NA,2,NA,0.866931843384805,"C3H4O3"
5,89.0475564523306,5.73025935,NA,2,NA,0.874604416520171,"C3H7NO2"
6,90.0315664523306,7.43056236,NA,2,NA,0.866847480555195,"C3H6O3"
7,100.052506452331,5.796706752,NA,2,NA,0.996308056465282,"C5H8O2"
8,100.052506452331,5.219472353,NA,2,NA,0.996308056465282,"C5H8O2"
9,102.031676452331,7.062193924,NA,2,NA,0.980044284668876,"C4H6O3"
10,108.042276452331,5.110568374,NA,2,NA,0.995631001771194,"C3H8O4"
11,112.027276452331,5.675653825,NA,2,NA,0.989618376970173,"C4H4N2O2"
12,114.031676452331,7.17543582,NA,2,NA,0.980049062306058,"C5H6O3"
13,114.068076452331,5.319210936,NA,2,NA,0.98778320155515,"C6H10O2"
14,115.063276452331,5.609565504,NA,2,NA,0.954435062325979,"C5H9NO2"
15,116.010976452331,6.354470871,NA,2,NA,0.995668841477351,"C4H4O4"
16,116.047276452331,6.5633956,NA,2,NA,0.939691516367693,"C5H8O3"
17,116.058476452331,4.585478117,NA,2,NA,0.902066020926763,"C4H8N2O2"
18,117.078976452331,5.618357696,NA,2,NA,0.988232281167242,"C5H11NO2"
19,126.042876452331,4.63258977,NA,2,NA,0.955394517382213,"C5H6N2O2"
20,131.094576452331,5.637885761,NA,2,NA,0.954319999398373,"C6H13NO2"
21,131.094576452331,5.636516612,NA,2,NA,0.954319999398373,"C6H13NO2"
22,134.021476452331,6.420798082,NA,2,NA,0.958951885554127,"C4H6O5"
23,134.021476452331,5.890577605,NA,2,NA,0.958951885554127,"C4H6O5"
24,134.057876452331,6.108394968,NA,2,NA,0.970307884212955,"C5H10O4"
25,134.057876452331,4.934064958,NA,2,NA,0.970307884212955,"C5H10O4"
26,138.031676452331,5.447103189,NA,2,NA,0.980049062306058,"C7H6O3"
27,138.031676452331,5.211635913,NA,2,NA,0.980049062306058,"C7H6O3"
28,146.021476452331,6.409736759,NA,2,NA,0.958918175584959,"C5H6O5"
29,146.069076452331,6.480240163,NA,2,NA,0.941624533225238,"C5H10N2O3"
30,146.069076452331,5.702755258,NA,2,NA,0.941624533225238,"C5H10N2O3"
31,146.069076452331,5.042069724,NA,2,NA,0.941624533225238,"C5H10N2O3"
32,146.105476452331,5.091036212,NA,2,NA,0.955131393172638,"C6H14N2O2"
33,147.053076452331,7.221433289,NA,2,NA,0.925301182256101,"C5H9NO4"
34,147.053076452331,6.235374384,NA,2,NA,0.925301182256101,"C5H9NO4"
35,147.053176452331,6.349924664,NA,2,NA,0.995910547169755,"C5H9NO4"
36,148.073476452331,6.415233204,NA,2,NA,0.924030702983848,"C6H12O4"
37,148.073576452331,5.659084436,NA,2,NA,0.995591293461013,"C6H12O4"
38,148.073576452331,4.896541666,NA,2,NA,0.995591293461013,"C6H12O4"
39,156.016976452331,5.739399265,NA,2,NA,0.863192041134023,"C5H4N2O4"
40,156.042176452331,5.135178798,NA,2,NA,0.924191140122632,"C7H8O4"
41,158.032676452331,5.508214991,NA,2,NA,0.926513915002948,"C5H6N2O4"
42,163.049376452331,4.974974438,NA,2,NA,0.998941200292336,"C6H5N5O"
43,164.047376452331,6.024013701,NA,2,NA,0.998791247037829,"C9H8O3"
44,164.068476452331,5.299652498,NA,2,NA,0.990477138082753,"C6H12O5"
45,165.028676452331,3.884646378,NA,2,NA,0.990092367163462,"C5H3N5O2"
46,165.065076452331,5.164161229,NA,2,NA,0.995321240655764,"C6H7N5O"
47,165.078976452331,5.234121262,NA,2,NA,0.988213811239123,"C9H11NO2"
48,167.982276452331,5.513205036,NA,2,NA,0.90575489746028,"C3H5O6P"
49,169.998076452331,5.437394054,NA,2,NA,0.999958577920127,"C3H7O6P"
50,172.013576452331,5.435455752,NA,2,NA,0.905595856927674,"C3H9O6P"
51,172.037176452331,5.424975006,NA,2,NA,0.990536943594083,"C7H8O5"
52,173.105276452331,5.045152192,NA,2,NA,0.994532627433442,"C8H15NO3"
53,174.100376452331,5.150294929,NA,2,NA,0.941469829992232,"C7H14N2O3"
54,174.111676452331,4.605501009,NA,2,NA,0.989515989981818,"C6H14N4O2"
55,175.095476452331,4.806877402,NA,2,NA,0.880496066483443,"C6H13N3O3"
56,176.043176452331,5.447113184,NA,2,NA,0.841718524125297,"C5H8N2O5"
57,176.068476452331,6.431081284,NA,2,NA,0.990453830287181,"C7H12O5"
58,178.047776452331,5.638544819,NA,2,NA,0.999532886280993,"C6H10O6"
59,180.027976452331,4.636809596,NA,2,NA,0.98524688924171,"C6H12O2S2"
60,180.042776452331,5.310157308,NA,2,NA,0.363036590467699,"C9H8O4"
61,180.063276452331,7.959408114,NA,2,NA,0.88848086093114,"C6H12O6"
62,182.057976452331,5.848468115,NA,2,NA,0.998341760802024,"C9H10O4"
63,185.008876452331,5.354126016,NA,2,NA,0.95868015307504,"C3H8NO6P"
64,185.992876452331,6.367485417,NA,2,NA,0.944526578036702,"C3H7O7P"
